Categorii de biblioteci , Judete, Localitati , Ani, UM: Numar, Valoare
Total, TOTAL, TOTAL, Anul 1995, Numar, 13577
Total, TOTAL, TOTAL, Anul 1996, Numar, 13804
Total, TOTAL, TOTAL, Anul 1997, Numar, 13849
Total, TOTAL, TOTAL, Anul 1998, Numar, 13821
Total, TOTAL, TOTAL, Anul 1999, Numar, 13785
Total, TOTAL, TOTAL, Anul 2000, Numar, 13422
Total, TOTAL, TOTAL, Anul 2001, Numar, 13442
Total, TOTAL, TOTAL, Anul 2002, Numar, 13377
Total, TOTAL, TOTAL, Anul 2003, Numar, 13169
Total, TOTAL, TOTAL, Anul 2004, Numar, 12573
Total, TOTAL, TOTAL, Anul 2005, Numar, 12455
Total, TOTAL, TOTAL, Anul 2006, Numar, 12081
Total, TOTAL, TOTAL, Anul 2007, Numar, 12366
Total, TOTAL, TOTAL, Anul 2008, Numar, 12359
Total, TOTAL, TOTAL, Anul 2009, Numar, 12229
Total, TOTAL, TOTAL, Anul 2010, Numar, 11829
Total, TOTAL, TOTAL, Anul 2011, Numar, 11630
Total, TOTAL, TOTAL, Anul 2012, Numar, 11309
Total, TOTAL, TOTAL, Anul 2013, Numar, 11176
Total, TOTAL, TOTAL, Anul 2014, Numar, 10845
Total, TOTAL, TOTAL, Anul 2015, Numar, 10111
Total, TOTAL, TOTAL, Anul 2016, Numar, 9832
Total, TOTAL, TOTAL, Anul 2017, Numar, 9594
Total, TOTAL, TOTAL, Anul 2018, Numar, 9479
Total, TOTAL, TOTAL, Anul 2019, Numar, 9222
Total, TOTAL, TOTAL, Anul 2020, Numar, 8829
Total, TOTAL, TOTAL, Anul 2021, Numar, 8458
Total, Alba, TOTAL, Anul 1995, Numar, 290
Total, Alba, TOTAL, Anul 1996, Numar, 284
Total, Alba, TOTAL, Anul 1997, Numar, 288
Total, Alba, TOTAL, Anul 1998, Numar, 296
Total, Alba, TOTAL, Anul 1999, Numar, 311
Total, Alba, TOTAL, Anul 2000, Numar, 266
Total, Alba, TOTAL, Anul 2001, Numar, 298
Total, Alba, TOTAL, Anul 2002, Numar, 276
Total, Alba, TOTAL, Anul 2003, Numar, 274
Total, Alba, TOTAL, Anul 2004, Numar, 271
Total, Alba, TOTAL, Anul 2005, Numar, 270
Total, Alba, TOTAL, Anul 2006, Numar, 258
Total, Alba, TOTAL, Anul 2007, Numar, 253
Total, Alba, TOTAL, Anul 2008, Numar, 253
Total, Alba, TOTAL, Anul 2009, Numar, 254
Total, Alba, TOTAL, Anul 2010, Numar, 245
Total, Alba, TOTAL, Anul 2011, Numar, 236
Total, Alba, TOTAL, Anul 2012, Numar, 240
Total, Alba, TOTAL, Anul 2013, Numar, 230
Total, Alba, TOTAL, Anul 2014, Numar, 227
Total, Alba, TOTAL, Anul 2015, Numar, 220
Total, Alba, TOTAL, Anul 2016, Numar, 214
Total, Alba, TOTAL, Anul 2017, Numar, 209
Total, Alba, TOTAL, Anul 2018, Numar, 201
Total, Alba, TOTAL, Anul 2019, Numar, 197
Total, Alba, TOTAL, Anul 2020, Numar, 192
Total, Alba, TOTAL, Anul 2021, Numar, 186
Total, Arad, TOTAL, Anul 1995, Numar, 248
Total, Arad, TOTAL, Anul 1996, Numar, 264
Total, Arad, TOTAL, Anul 1997, Numar, 262
Total, Arad, TOTAL, Anul 1998, Numar, 264
Total, Arad, TOTAL, Anul 1999, Numar, 261
Total, Arad, TOTAL, Anul 2000, Numar, 217
Total, Arad, TOTAL, Anul 2001, Numar, 269
Total, Arad, TOTAL, Anul 2002, Numar, 276
Total, Arad, TOTAL, Anul 2003, Numar, 260
Total, Arad, TOTAL, Anul 2004, Numar, 245
Total, Arad, TOTAL, Anul 2005, Numar, 232
Total, Arad, TOTAL, Anul 2006, Numar, 236
Total, Arad, TOTAL, Anul 2007, Numar, 249
Total, Arad, TOTAL, Anul 2008, Numar, 248
Total, Arad, TOTAL, Anul 2009, Numar, 233
Total, Arad, TOTAL, Anul 2010, Numar, 242
Total, Arad, TOTAL, Anul 2011, Numar, 234
Total, Arad, TOTAL, Anul 2012, Numar, 237
Total, Arad, TOTAL, Anul 2013, Numar, 251
Total, Arad, TOTAL, Anul 2014, Numar, 239
Total, Arad, TOTAL, Anul 2015, Numar, 212
Total, Arad, TOTAL, Anul 2016, Numar, 203
Total, Arad, TOTAL, Anul 2017, Numar, 199
Total, Arad, TOTAL, Anul 2018, Numar, 200
Total, Arad, TOTAL, Anul 2019, Numar, 200
Total, Arad, TOTAL, Anul 2020, Numar, 196
Total, Arad, TOTAL, Anul 2021, Numar, 179
Total, Arges, TOTAL, Anul 1995, Numar, 625
Total, Arges, TOTAL, Anul 1996, Numar, 634
Total, Arges, TOTAL, Anul 1997, Numar, 623
Total, Arges, TOTAL, Anul 1998, Numar, 596
Total, Arges, TOTAL, Anul 1999, Numar, 599
Total, Arges, TOTAL, Anul 2000, Numar, 564
Total, Arges, TOTAL, Anul 2001, Numar, 562
Total, Arges, TOTAL, Anul 2002, Numar, 569
Total, Arges, TOTAL, Anul 2003, Numar, 572
Total, Arges, TOTAL, Anul 2004, Numar, 422
Total, Arges, TOTAL, Anul 2005, Numar, 420
Total, Arges, TOTAL, Anul 2006, Numar, 421
Total, Arges, TOTAL, Anul 2007, Numar, 549
Total, Arges, TOTAL, Anul 2008, Numar, 542
Total, Arges, TOTAL, Anul 2009, Numar, 531
Total, Arges, TOTAL, Anul 2010, Numar, 508
Total, Arges, TOTAL, Anul 2011, Numar, 481
Total, Arges, TOTAL, Anul 2012, Numar, 470
Total, Arges, TOTAL, Anul 2013, Numar, 445
Total, Arges, TOTAL, Anul 2014, Numar, 429
Total, Arges, TOTAL, Anul 2015, Numar, 401
Total, Arges, TOTAL, Anul 2016, Numar, 386
Total, Arges, TOTAL, Anul 2017, Numar, 376
Total, Arges, TOTAL, Anul 2018, Numar, 368
Total, Arges, TOTAL, Anul 2019, Numar, 355
Total, Arges, TOTAL, Anul 2020, Numar, 339
Total, Arges, TOTAL, Anul 2021, Numar, 328
Total, Bacau, TOTAL, Anul 1995, Numar, 496
Total, Bacau, TOTAL, Anul 1996, Numar, 497
Total, Bacau, TOTAL, Anul 1997, Numar, 482
Total, Bacau, TOTAL, Anul 1998, Numar, 486
Total, Bacau, TOTAL, Anul 1999, Numar, 473
Total, Bacau, TOTAL, Anul 2000, Numar, 469
Total, Bacau, TOTAL, Anul 2001, Numar, 468
Total, Bacau, TOTAL, Anul 2002, Numar, 463
Total, Bacau, TOTAL, Anul 2003, Numar, 460
Total, Bacau, TOTAL, Anul 2004, Numar, 435
Total, Bacau, TOTAL, Anul 2005, Numar, 431
Total, Bacau, TOTAL, Anul 2006, Numar, 431
Total, Bacau, TOTAL, Anul 2007, Numar, 425
Total, Bacau, TOTAL, Anul 2008, Numar, 419
Total, Bacau, TOTAL, Anul 2009, Numar, 408
Total, Bacau, TOTAL, Anul 2010, Numar, 388
Total, Bacau, TOTAL, Anul 2011, Numar, 380
Total, Bacau, TOTAL, Anul 2012, Numar, 380
Total, Bacau, TOTAL, Anul 2013, Numar, 386
Total, Bacau, TOTAL, Anul 2014, Numar, 382
Total, Bacau, TOTAL, Anul 2015, Numar, 371
Total, Bacau, TOTAL, Anul 2016, Numar, 364
Total, Bacau, TOTAL, Anul 2017, Numar, 358
Total, Bacau, TOTAL, Anul 2018, Numar, 357
Total, Bacau, TOTAL, Anul 2019, Numar, 350
Total, Bacau, TOTAL, Anul 2020, Numar, 336
Total, Bacau, TOTAL, Anul 2021, Numar, 303
Total, Bihor, TOTAL, Anul 1995, Numar, 421
Total, Bihor, TOTAL, Anul 1996, Numar, 414
Total, Bihor, TOTAL, Anul 1997, Numar, 451
Total, Bihor, TOTAL, Anul 1998, Numar, 446
Total, Bihor, TOTAL, Anul 1999, Numar, 453
Total, Bihor, TOTAL, Anul 2000, Numar, 433
Total, Bihor, TOTAL, Anul 2001, Numar, 429
Total, Bihor, TOTAL, Anul 2002, Numar, 421
Total, Bihor, TOTAL, Anul 2003, Numar, 421
Total, Bihor, TOTAL, Anul 2004, Numar, 380
Total, Bihor, TOTAL, Anul 2005, Numar, 378
Total, Bihor, TOTAL, Anul 2006, Numar, 366
Total, Bihor, TOTAL, Anul 2007, Numar, 383
Total, Bihor, TOTAL, Anul 2008, Numar, 382
