Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar, Valoare
Bihor, Anul 1992, Numar, 1
Bihor, Anul 1993, Numar, 2
Bihor, Anul 1994, Numar, 7
Bihor, Anul 1995, Numar, 5
Bihor, Anul 1996, Numar, 10
Bihor, Anul 1997, Numar, 10
Bihor, Anul 1998, Numar, 12
Bihor, Anul 1999, Numar, 7
Bihor, Anul 2000, Numar, 5
Bihor, Anul 2001, Numar, 2
Bihor, Anul 2002, Numar, 3
Bihor, Anul 2005, Numar, 1
Bihor, Anul 2006, Numar, 2
Bihor, Anul 2008, Numar, 1
Bihor, Anul 2009, Numar, 1
Bihor, Anul 2010, Numar, 1
Bistrita-Nasaud, Anul 1999, Numar, 7
Bistrita-Nasaud, Anul 2001, Numar, 1
Bistrita-Nasaud, Anul 2002, Numar, 3
Bistrita-Nasaud, Anul 2004, Numar, 1
Bistrita-Nasaud, Anul 2006, Numar, 1
Bistrita-Nasaud, Anul 2009, Numar, 1
Cluj, Anul 1992, Numar, 6
Cluj, Anul 1993, Numar, 9
Cluj, Anul 1994, Numar, 14
Cluj, Anul 1995, Numar, 12
Cluj, Anul 1996, Numar, 9
Cluj, Anul 1997, Numar, 4
Cluj, Anul 1998, Numar, 2
Cluj, Anul 1999, Numar, 28
Cluj, Anul 2000, Numar, 8
Cluj, Anul 2001, Numar, 3
Cluj, Anul 2002, Numar, 4
Cluj, Anul 2003, Numar, 5
Cluj, Anul 2004, Numar, 2
Cluj, Anul 2005, Numar, 4
Cluj, Anul 2006, Numar, 1
Cluj, Anul 2007, Numar, 5
Cluj, Anul 2008, Numar, 5
Cluj, Anul 2009, Numar, 5
Cluj, Anul 2010, Numar, 3
Cluj, Anul 2011, Numar, 1
Cluj, Anul 2012, Numar, 2
Cluj, Anul 2015, Numar, 1
Cluj, Anul 2016, Numar, 1
Cluj, Anul 2017, Numar, 1
Cluj, Anul 2019, Numar, 1
Cluj, Anul 2020, Numar, 0
Cluj, Anul 2021, Numar, 0
Maramures, Anul 1992, Numar, 14
Maramures, Anul 1993, Numar, 23
Maramures, Anul 1994, Numar, 11
Maramures, Anul 1995, Numar, 5
Maramures, Anul 1996, Numar, 5
Maramures, Anul 1997, Numar, 4
Maramures, Anul 1998, Numar, 12
Maramures, Anul 1999, Numar, 15
Maramures, Anul 2000, Numar, 4
Maramures, Anul 2001, Numar, 1
Maramures, Anul 2002, Numar, 3
Maramures, Anul 2003, Numar, 2
Maramures, Anul 2004, Numar, 2
Maramures, Anul 2005, Numar, 1
Maramures, Anul 2006, Numar, 4
Maramures, Anul 2007, Numar, 2
Maramures, Anul 2008, Numar, 4
Maramures, Anul 2009, Numar, 1
Maramures, Anul 2013, Numar, 1
Satu Mare, Anul 1993, Numar, 3
Satu Mare, Anul 1994, Numar, 1
Satu Mare, Anul 1995, Numar, 1
Satu Mare, Anul 1996, Numar, 2
Satu Mare, Anul 1997, Numar, 1
Satu Mare, Anul 1998, Numar, 2
Satu Mare, Anul 1999, Numar, 3
Satu Mare, Anul 2001, Numar, 3
Satu Mare, Anul 2002, Numar, 7
Satu Mare, Anul 2003, Numar, 3
Satu Mare, Anul 2004, Numar, 2
Satu Mare, Anul 2005, Numar, 1
Satu Mare, Anul 2006, Numar, 2
Satu Mare, Anul 2007, Numar, 1
Satu Mare, Anul 2009, Numar, 1
Satu Mare, Anul 2016, Numar, 1
Satu Mare, Anul 2018, Numar, 1
Satu Mare, Anul 2019, Numar, 1
Satu Mare, Anul 2020, Numar, 0
Satu Mare, Anul 2021, Numar, 0
Salaj, Anul 1993, Numar, 7
Salaj, Anul 1994, Numar, 8
Salaj, Anul 1995, Numar, 9
Salaj, Anul 1996, Numar, 3
Salaj, Anul 1997, Numar, 3
Salaj, Anul 1998, Numar, 6
Salaj, Anul 1999, Numar, 6
Salaj, Anul 2000, Numar, 2
Salaj, Anul 2001, Numar, 3
Salaj, Anul 2002, Numar, 1
Salaj, Anul 2003, Numar, 1
Salaj, Anul 2004, Numar, 2
Salaj, Anul 2005, Numar, 1
Salaj, Anul 2006, Numar, 2
Salaj, Anul 2007, Numar, 1
Salaj, Anul 2008, Numar, 2
Salaj, Anul 2010, Numar, 1
Salaj, Anul 2012, Numar, 2
Salaj, Anul 2013, Numar, 1
Alba, Anul 1992, Numar, 2
Alba, Anul 1994, Numar, 1
Alba, Anul 1997, Numar, 1
Alba, Anul 1998, Numar, 2
Alba, Anul 1999, Numar, 11
Alba, Anul 2000, Numar, 1
Alba, Anul 2002, Numar, 4
Alba, Anul 2004, Numar, 1
Alba, Anul 2006, Numar, 2
Alba, Anul 2007, Numar, 2
Alba, Anul 2008, Numar, 1
Alba, Anul 2009, Numar, 2
Alba, Anul 2010, Numar, 1
Alba, Anul 2011, Numar, 1
Alba, Anul 2015, Numar, 1
Alba, Anul 2019, Numar, 1
Alba, Anul 2020, Numar, 1
Alba, Anul 2021, Numar, 0
Brasov, Anul 1992, Numar, 7
Brasov, Anul 1993, Numar, 7
Brasov, Anul 1994, Numar, 10
Brasov, Anul 1995, Numar, 15
Brasov, Anul 1996, Numar, 8
Brasov, Anul 1997, Numar, 7
Brasov, Anul 1998, Numar, 10
Brasov, Anul 1999, Numar, 23
Brasov, Anul 2000, Numar, 4
Brasov, Anul 2003, Numar, 4
Brasov, Anul 2004, Numar, 1
Brasov, Anul 2005, Numar, 1
Brasov, Anul 2006, Numar, 3
Brasov, Anul 2007, Numar, 2
Brasov, Anul 2008, Numar, 2
Brasov, Anul 2009, Numar, 1
Brasov, Anul 2010, Numar, 3
Brasov, Anul 2011, Numar, 1
Brasov, Anul 2012, Numar, 1
Brasov, Anul 2014, Numar, 1
Brasov, Anul 2015, Numar, 3
Brasov, Anul 2018, Numar, 2
Brasov, Anul 2019, Numar, 2
Brasov, Anul 2020, Numar, 0
Brasov, Anul 2021, Numar, 0
Covasna, Anul 1992, Numar, 3
Covasna, Anul 1993, Numar, 16
Covasna, Anul 1994, Numar, 4
Covasna, Anul 1995, Numar, 4
Covasna, Anul 1996, Numar, 8
Covasna, Anul 1997, Numar, 3
Covasna, Anul 1998, Numar, 5
Covasna, Anul 1999, Numar, 6
Covasna, Anul 2000, Numar, 1
Covasna, Anul 2001, Numar, 1
Covasna, Anul 2005, Numar, 1
Covasna, Anul 2008, Numar, 2
Covasna, Anul 2019, Numar, 1
Covasna, Anul 2020, Numar, 0
Covasna, Anul 2021, Numar, 0
Harghita, Anul 1993, Numar, 11
Harghita, Anul 1994, Numar, 5
Harghita, Anul 1995, Numar, 11
Harghita, Anul 1996, Numar, 4
Harghita, Anul 1997, Numar, 2
Harghita, Anul 1998, Numar, 6
Harghita, Anul 1999, Numar, 10
Harghita, Anul 2000, Numar, 6
Harghita, Anul 2002, Numar, 2
Harghita, Anul 2003, Numar, 1
Harghita, Anul 2004, Numar, 2
