YEARS,COUNTIES,EMIGRANTS,BORN_URBAN,BORN_RURAL,DEAD_URBAN,DEAD_RURAL,DIVORCES_URBAN,DIVORCES_RURAL,UNEMPLOYMENT_RATE_MALE,UNEMPLOYMENT_RATE_FEMALE,EDUCATIONAL_UNITS,TEACHING_STAFF,CONFLICTS_OF_INTEREST,HOSPITALS
 Anul 1992, Alba,625.0,2593.0,2211.0,23.0,20.0,388.0,132.0,4.0,7.3,782,5674.0,2.0,10.0
 Anul 1993, Alba,545.0,2318.0,2125.0,16.0,18.0,343.0,125.0,6.6,9.7,803,5652.0,0.0,10.0
 Anul 1994, Alba,272.0,2381.0,2028.0,18.0,12.0,570.0,183.0,6.8,9.4,775,5853.0,1.0,9.0
 Anul 1995, Alba,466.0,2138.0,1936.0,17.0,11.0,448.0,150.0,4.8,9.2,774,5831.0,0.0,9.0
 Anul 1996, Alba,330.0,2183.0,1876.0,19.0,18.0,458.0,161.0,3.2,6.0,780,6065.0,0.0,10.0
 Anul 1997, Alba,309.0,2296.0,1927.0,17.0,11.0,500.0,168.0,7.5,10.6,752,5967.0,1.0,10.0
 Anul 1998, Alba,184.0,2205.0,1953.0,22.0,13.0,518.0,207.0,11.6,13.8,766,5943.0,2.0,10.0
 Anul 1999, Alba,158.0,2154.0,1899.0,13.0,15.0,432.0,184.0,9.8,13.8,715,5606.0,11.0,10.0
 Anul 2000, Alba,187.0,2097.0,1852.0,6.0,16.0,434.0,136.0,10.7,15.2,706,5489.0,1.0,10.0
 Anul 2001, Alba,125.0,1899.0,1648.0,11.0,11.0,389.0,161.0,9.2,11.5,704,5573.0,0.0,10.0
 Anul 2002, Alba,86.0,1840.0,1608.0,15.0,21.0,492.0,177.0,9.1,12.5,704,5107.0,4.0,10.0
 Anul 2003, Alba,168.0,1963.0,1509.0,6.0,17.0,478.0,158.0,6.8,11.7,494,5143.0,0.0,9.0
 Anul 2004, Alba,189.0,2076.0,1514.0,20.0,16.0,527.0,176.0,10.8,9.1,494,5156.0,1.0,9.0
 Anul 2005, Alba,146.0,2174.0,1604.0,17.0,12.0,410.0,153.0,8.8,7.7,491,4895.0,0.0,10.0
 Anul 2006, Alba,239.0,2211.0,1428.0,10.0,10.0,421.0,134.0,7.3,6.8,184,4865.0,2.0,10.0
 Anul 2007, Alba,142.0,2086.0,1376.0,8.0,5.0,383.0,147.0,5.6,5.8,181,4847.0,2.0,10.0
 Anul 2008, Alba,153.0,2106.0,1386.0,8.0,6.0,447.0,171.0,7.1,7.0,179,4826.0,1.0,10.0
 Anul 2009, Alba,155.0,2272.0,1357.0,11.0,9.0,412.0,154.0,13.8,11.1,181,4717.0,2.0,10.0
 Anul 2010, Alba,105.0,2019.0,1264.0,15.0,11.0,512.0,180.0,10.9,9.1,174,4490.0,1.0,10.0
 Anul 2011, Alba,241.0,1950.0,1302.0,9.0,7.0,529.0,188.0,8.4,7.0,151,4367.0,1.0,9.0
 Anul 2012, Alba,287.0,1942.0,1299.0,4.0,6.0,451.0,167.0,8.8,7.9,143,4328.0,0.0,9.0
 Anul 2013, Alba,262.0,2034.0,1309.0,13.0,8.0,361.0,149.0,10.1,10.3,144,4414.0,0.0,10.0
 Anul 2014, Alba,161.0,1938.0,1286.0,8.0,6.0,387.0,125.0,7.7,6.8,141,4233.0,0.0,11.0
 Anul 2015, Alba,193.0,1935.0,1264.0,8.0,7.0,482.0,143.0,5.8,5.4,141,4208.0,1.0,11.0
 Anul 2016, Alba,288.0,1849.0,1418.0,6.0,1.0,440.0,167.0,5.3,4.8,140,4115.0,0.0,10.0
 Anul 2017, Alba,314.0,1974.0,1332.0,9.0,4.0,446.0,153.0,3.8,3.5,140,4092.0,0.0,10.0
 Anul 2018, Alba,396.0,1910.0,1280.0,8.0,11.0,437.0,172.0,3.4,3.3,140,3970.0,0.0,11.0
 Anul 2019, Alba,374.0,1919.0,1320.0,3.0,6.0,431.0,172.0,3.1,3.1,141,3943.0,1.0,11.0
 Anul 2020, Alba,267.0,1777.0,1204.0,4.0,5.0,254.0,89.0,3.6,3.9,140,3914.0,1.0,11.0
 Anul 2021, Alba,444.0,1645.0,1227.0,9.0,9.0,405.0,173.0,3.3,3.4,140,3876.0,0.0,11.0
 Anul 1992, Arad,1422.0,2525.0,2463.0,22.0,25.0,730.0,237.0,4.2,8.1,643,5257.0,4.0,11.0
 Anul 1993, Arad,2226.0,2402.0,2364.0,21.0,18.0,722.0,261.0,6.5,12.2,658,5516.0,9.0,11.0
 Anul 1994, Arad,820.0,2327.0,2461.0,12.0,17.0,880.0,292.0,7.3,13.3,651,5563.0,21.0,11.0
 Anul 1995, Arad,1076.0,2155.0,2380.0,15.0,18.0,799.0,235.0,4.5,5.8,646,5876.0,20.0,11.0
 Anul 1996, Arad,860.0,2119.0,2290.0,16.0,13.0,789.0,262.0,2.4,3.1,687,6091.0,13.0,11.0
 Anul 1997, Arad,971.0,2215.0,2425.0,21.0,19.0,640.0,275.0,4.9,5.0,678,6298.0,9.0,11.0
 Anul 1998, Arad,501.0,2232.0,2429.0,18.0,27.0,814.0,311.0,8.4,8.6,676,6693.0,6.0,11.0
 Anul 1999, Arad,357.0,2258.0,2398.0,23.0,21.0,636.0,307.0,9.8,8.8,621,6255.0,18.0,11.0
 Anul 2000, Arad,437.0,2151.0,2492.0,18.0,22.0,605.0,259.0,9.4,7.4,604,6019.0,2.0,11.0
