Medii de rezidenta, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar, Valoare
Urban, Bihor, Anul 1990, Numar, 626
Urban, Bihor, Anul 1991, Numar, 528
Urban, Bihor, Anul 1992, Numar, 330
Urban, Bihor, Anul 1993, Numar, 410
Urban, Bihor, Anul 1994, Numar, 382
Urban, Bihor, Anul 1995, Numar, 452
Urban, Bihor, Anul 1996, Numar, 295
Urban, Bihor, Anul 1997, Numar, 428
Urban, Bihor, Anul 1998, Numar, 487
Urban, Bihor, Anul 1999, Numar, 365
Urban, Bihor, Anul 2000, Numar, 544
Urban, Bihor, Anul 2001, Numar, 418
Urban, Bihor, Anul 2002, Numar, 457
Urban, Bihor, Anul 2003, Numar, 528
Urban, Bihor, Anul 2004, Numar, 455
Urban, Bihor, Anul 2005, Numar, 472
Urban, Bihor, Anul 2006, Numar, 281
Urban, Bihor, Anul 2007, Numar, 308
Urban, Bihor, Anul 2008, Numar, 338
Urban, Bihor, Anul 2009, Numar, 433
Urban, Bihor, Anul 2010, Numar, 681
Urban, Bihor, Anul 2011, Numar, 738
Urban, Bihor, Anul 2012, Numar, 550
Urban, Bihor, Anul 2013, Numar, 493
Urban, Bihor, Anul 2014, Numar, 467
Urban, Bihor, Anul 2015, Numar, 631
Urban, Bihor, Anul 2016, Numar, 660
Urban, Bihor, Anul 2017, Numar, 644
Urban, Bihor, Anul 2018, Numar, 530
Urban, Bihor, Anul 2019, Numar, 592
Urban, Bihor, Anul 2020, Numar, 494
Urban, Bihor, Anul 2021, Numar, 524
Urban, Bihor, Anul 2022, Numar, 446
Urban, Bistrita-Nasaud, Anul 1990, Numar, 199
Urban, Bistrita-Nasaud, Anul 1991, Numar, 139
Urban, Bistrita-Nasaud, Anul 1992, Numar, 189
Urban, Bistrita-Nasaud, Anul 1993, Numar, 229
Urban, Bistrita-Nasaud, Anul 1994, Numar, 306
Urban, Bistrita-Nasaud, Anul 1995, Numar, 246
Urban, Bistrita-Nasaud, Anul 1996, Numar, 259
Urban, Bistrita-Nasaud, Anul 1997, Numar, 250
Urban, Bistrita-Nasaud, Anul 1998, Numar, 334
Urban, Bistrita-Nasaud, Anul 1999, Numar, 253
Urban, Bistrita-Nasaud, Anul 2000, Numar, 292
Urban, Bistrita-Nasaud, Anul 2001, Numar, 283
Urban, Bistrita-Nasaud, Anul 2002, Numar, 230
Urban, Bistrita-Nasaud, Anul 2003, Numar, 207
Urban, Bistrita-Nasaud, Anul 2004, Numar, 240
Urban, Bistrita-Nasaud, Anul 2005, Numar, 214
Urban, Bistrita-Nasaud, Anul 2006, Numar, 389
Urban, Bistrita-Nasaud, Anul 2007, Numar, 239
Urban, Bistrita-Nasaud, Anul 2008, Numar, 103
Urban, Bistrita-Nasaud, Anul 2009, Numar, 225
Urban, Bistrita-Nasaud, Anul 2010, Numar, 210
Urban, Bistrita-Nasaud, Anul 2011, Numar, 165
Urban, Bistrita-Nasaud, Anul 2012, Numar, 90
Urban, Bistrita-Nasaud, Anul 2013, Numar, 121
Urban, Bistrita-Nasaud, Anul 2014, Numar, 90
Urban, Bistrita-Nasaud, Anul 2015, Numar, 123
Urban, Bistrita-Nasaud, Anul 2016, Numar, 112
Urban, Bistrita-Nasaud, Anul 2017, Numar, 203
Urban, Bistrita-Nasaud, Anul 2018, Numar, 194
Urban, Bistrita-Nasaud, Anul 2019, Numar, 147
Urban, Bistrita-Nasaud, Anul 2020, Numar, 71
Urban, Bistrita-Nasaud, Anul 2021, Numar, 206
Urban, Bistrita-Nasaud, Anul 2022, Numar, 156
Urban, Cluj, Anul 1990, Numar, 910
Urban, Cluj, Anul 1991, Numar, 950
Urban, Cluj, Anul 1992, Numar, 876
Urban, Cluj, Anul 1993, Numar, 895
Urban, Cluj, Anul 1994, Numar, 711
Urban, Cluj, Anul 1995, Numar, 803
Urban, Cluj, Anul 1996, Numar, 720
Urban, Cluj, Anul 1997, Numar, 636
Urban, Cluj, Anul 1998, Numar, 783
Urban, Cluj, Anul 1999, Numar, 720
Urban, Cluj, Anul 2000, Numar, 692
Urban, Cluj, Anul 2001, Numar, 609
Urban, Cluj, Anul 2002, Numar, 840
Urban, Cluj, Anul 2003, Numar, 843
Urban, Cluj, Anul 2004, Numar, 1083
Urban, Cluj, Anul 2005, Numar, 852
Urban, Cluj, Anul 2006, Numar, 781
Urban, Cluj, Anul 2007, Numar, 861
Urban, Cluj, Anul 2008, Numar, 1055
Urban, Cluj, Anul 2009, Numar, 918
Urban, Cluj, Anul 2010, Numar, 829
Urban, Cluj, Anul 2011, Numar, 870
Urban, Cluj, Anul 2012, Numar, 800
Urban, Cluj, Anul 2013, Numar, 533
Urban, Cluj, Anul 2014, Numar, 539
Urban, Cluj, Anul 2015, Numar, 543
Urban, Cluj, Anul 2016, Numar, 564
Urban, Cluj, Anul 2017, Numar, 606
Urban, Cluj, Anul 2018, Numar, 562
Urban, Cluj, Anul 2019, Numar, 682
Urban, Cluj, Anul 2020, Numar, 483
Urban, Cluj, Anul 2021, Numar, 453
Urban, Cluj, Anul 2022, Numar, 410
Urban, Maramures, Anul 1990, Numar, 466
Urban, Maramures, Anul 1991, Numar, 549
Urban, Maramures, Anul 1992, Numar, 390
Urban, Maramures, Anul 1993, Numar, 522
Urban, Maramures, Anul 1994, Numar, 726
Urban, Maramures, Anul 1995, Numar, 537
Urban, Maramures, Anul 1996, Numar, 655
Urban, Maramures, Anul 1997, Numar, 598
Urban, Maramures, Anul 1998, Numar, 812
Urban, Maramures, Anul 1999, Numar, 628
Urban, Maramures, Anul 2000, Numar, 615
Urban, Maramures, Anul 2001, Numar, 616
Urban, Maramures, Anul 2002, Numar, 628
Urban, Maramures, Anul 2003, Numar, 727
Urban, Maramures, Anul 2004, Numar, 770
Urban, Maramures, Anul 2005, Numar, 678
Urban, Maramures, Anul 2006, Numar, 583
Urban, Maramures, Anul 2007, Numar, 766
Urban, Maramures, Anul 2008, Numar, 746
Urban, Maramures, Anul 2009, Numar, 581
Urban, Maramures, Anul 2010, Numar, 709
Urban, Maramures, Anul 2011, Numar, 629
Urban, Maramures, Anul 2012, Numar, 571
Urban, Maramures, Anul 2013, Numar, 503
Urban, Maramures, Anul 2014, Numar, 498
Urban, Maramures, Anul 2015, Numar, 582
Urban, Maramures, Anul 2016, Numar, 563
Urban, Maramures, Anul 2017, Numar, 553
Urban, Maramures, Anul 2018, Numar, 530
Urban, Maramures, Anul 2019, Numar, 502
Urban, Maramures, Anul 2020, Numar, 446
Urban, Maramures, Anul 2021, Numar, 446
Urban, Maramures, Anul 2022, Numar, 379
Urban, Satu Mare, Anul 1990, Numar, 417
Urban, Satu Mare, Anul 1991, Numar, 481
Urban, Satu Mare, Anul 1992, Numar, 344
Urban, Satu Mare, Anul 1993, Numar, 387
Urban, Satu Mare, Anul 1994, Numar, 383
Urban, Satu Mare, Anul 1995, Numar, 407
Urban, Satu Mare, Anul 1996, Numar, 494
Urban, Satu Mare, Anul 1997, Numar, 497
Urban, Satu Mare, Anul 1998, Numar, 504
Urban, Satu Mare, Anul 1999, Numar, 447
Urban, Satu Mare, Anul 2000, Numar, 441
Urban, Satu Mare, Anul 2001, Numar, 497
Urban, Satu Mare, Anul 2002, Numar, 565
Urban, Satu Mare, Anul 2003, Numar, 507
Urban, Satu Mare, Anul 2004, Numar, 480
Urban, Satu Mare, Anul 2005, Numar, 469
Urban, Satu Mare, Anul 2006, Numar, 432
Urban, Satu Mare, Anul 2007, Numar, 538
Urban, Satu Mare, Anul 2008, Numar, 434
Urban, Satu Mare, Anul 2009, Numar, 402
Urban, Satu Mare, Anul 2010, Numar, 460
Urban, Satu Mare, Anul 2011, Numar, 355
Urban, Satu Mare, Anul 2012, Numar, 366
Urban, Satu Mare, Anul 2013, Numar, 349
Urban, Satu Mare, Anul 2014, Numar, 327
Urban, Satu Mare, Anul 2015, Numar, 431
Urban, Satu Mare, Anul 2016, Numar, 371
Urban, Satu Mare, Anul 2017, Numar, 356
Urban, Satu Mare, Anul 2018, Numar, 330
Urban, Satu Mare, Anul 2019, Numar, 323
Urban, Satu Mare, Anul 2020, Numar, 241
Urban, Satu Mare, Anul 2021, Numar, 317
Urban, Satu Mare, Anul 2022, Numar, 235
Urban, Salaj, Anul 1990, Numar, 130
Urban, Salaj, Anul 1991, Numar, 156
Urban, Salaj, Anul 1992, Numar, 138
Urban, Salaj, Anul 1993, Numar, 171
Urban, Salaj, Anul 1994, Numar, 234
Urban, Salaj, Anul 1995, Numar, 176
Urban, Salaj, Anul 1996, Numar, 187
Urban, Salaj, Anul 1997, Numar, 213
Urban, Salaj, Anul 1998, Numar, 215
Urban, Salaj, Anul 1999, Numar, 188
Urban, Salaj, Anul 2000, Numar, 184
Urban, Salaj, Anul 2001, Numar, 170
Urban, Salaj, Anul 2002, Numar, 180
Urban, Salaj, Anul 2003, Numar, 214
Urban, Salaj, Anul 2004, Numar, 173
Urban, Salaj, Anul 2005, Numar, 147
Urban, Salaj, Anul 2006, Numar, 170
Urban, Salaj, Anul 2007, Numar, 153
Urban, Salaj, Anul 2008, Numar, 170
Urban, Salaj, Anul 2009, Numar, 212
Urban, Salaj, Anul 2010, Numar, 201
Urban, Salaj, Anul 2011, Numar, 192
Urban, Salaj, Anul 2012, Numar, 209
Urban, Salaj, Anul 2013, Numar, 166
Urban, Salaj, Anul 2014, Numar, 156
Urban, Salaj, Anul 2015, Numar, 211
Urban, Salaj, Anul 2016, Numar, 168
Urban, Salaj, Anul 2017, Numar, 188
Urban, Salaj, Anul 2018, Numar, 216
Urban, Salaj, Anul 2019, Numar, 178
Urban, Salaj, Anul 2020, Numar, 140
Urban, Salaj, Anul 2021, Numar, 192
Urban, Salaj, Anul 2022, Numar, 145
Urban, Alba, Anul 1990, Numar, 409
Urban, Alba, Anul 1991, Numar, 444
Urban, Alba, Anul 1992, Numar, 388
Urban, Alba, Anul 1993, Numar, 343
Urban, Alba, Anul 1994, Numar, 570
Urban, Alba, Anul 1995, Numar, 448
Urban, Alba, Anul 1996, Numar, 458
Urban, Alba, Anul 1997, Numar, 500
Urban, Alba, Anul 1998, Numar, 518
Urban, Alba, Anul 1999, Numar, 432
Urban, Alba, Anul 2000, Numar, 434
Urban, Alba, Anul 2001, Numar, 389
Urban, Alba, Anul 2002, Numar, 492
Urban, Alba, Anul 2003, Numar, 478
Urban, Alba, Anul 2004, Numar, 527
Urban, Alba, Anul 2005, Numar, 410
Urban, Alba, Anul 2006, Numar, 421
Urban, Alba, Anul 2007, Numar, 383
Urban, Alba, Anul 2008, Numar, 447
Urban, Alba, Anul 2009, Numar, 412
Urban, Alba, Anul 2010, Numar, 512
Urban, Alba, Anul 2011, Numar, 529
Urban, Alba, Anul 2012, Numar, 451
Urban, Alba, Anul 2013, Numar, 361
Urban, Alba, Anul 2014, Numar, 387
Urban, Alba, Anul 2015, Numar, 482
Urban, Alba, Anul 2016, Numar, 440
Urban, Alba, Anul 2017, Numar, 446
Urban, Alba, Anul 2018, Numar, 437
Urban, Alba, Anul 2019, Numar, 431
Urban, Alba, Anul 2020, Numar, 254
Urban, Alba, Anul 2021, Numar, 405
Urban, Alba, Anul 2022, Numar, 314
Urban, Brasov, Anul 1990, Numar, 975
Urban, Brasov, Anul 1991, Numar, 676
Urban, Brasov, Anul 1992, Numar, 751
Urban, Brasov, Anul 1993, Numar, 932
Urban, Brasov, Anul 1994, Numar, 758
Urban, Brasov, Anul 1995, Numar, 1147
Urban, Brasov, Anul 1996, Numar, 1077
Urban, Brasov, Anul 1997, Numar, 1219
Urban, Brasov, Anul 1998, Numar, 1091
Urban, Brasov, Anul 1999, Numar, 1128
Urban, Brasov, Anul 2000, Numar, 968
Urban, Brasov, Anul 2001, Numar, 922
Urban, Brasov, Anul 2002, Numar, 878
Urban, Brasov, Anul 2003, Numar, 897
Urban, Brasov, Anul 2004, Numar, 736
Urban, Brasov, Anul 2005, Numar, 942
Urban, Brasov, Anul 2006, Numar, 806
Urban, Brasov, Anul 2007, Numar, 1453
Urban, Brasov, Anul 2008, Numar, 759
Urban, Brasov, Anul 2009, Numar, 1476
Urban, Brasov, Anul 2010, Numar, 770
Urban, Brasov, Anul 2011, Numar, 1216
Urban, Brasov, Anul 2012, Numar, 796
Urban, Brasov, Anul 2013, Numar, 909
Urban, Brasov, Anul 2014, Numar, 936
Urban, Brasov, Anul 2015, Numar, 918
Urban, Brasov, Anul 2016, Numar, 836
