Sexe, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Total, Regiunea NORD-VEST, Anul 1991, Numar persoane, 6754
Total, Regiunea NORD-VEST, Anul 1992, Numar persoane, 5593
Total, Regiunea NORD-VEST, Anul 1993, Numar persoane, 2752
Total, Regiunea NORD-VEST, Anul 1994, Numar persoane, 2532
Total, Regiunea NORD-VEST, Anul 1995, Numar persoane, 4070
Total, Regiunea NORD-VEST, Anul 1996, Numar persoane, 3311
Total, Regiunea NORD-VEST, Anul 1997, Numar persoane, 3003
Total, Regiunea NORD-VEST, Anul 1998, Numar persoane, 2142
Total, Regiunea NORD-VEST, Anul 1999, Numar persoane, 1657
Total, Regiunea NORD-VEST, Anul 2000, Numar persoane, 2271
Total, Regiunea NORD-VEST, Anul 2001, Numar persoane, 1569
Total, Regiunea NORD-VEST, Anul 2002, Numar persoane, 1536
Total, Regiunea NORD-VEST, Anul 2003, Numar persoane, 1893
Total, Regiunea NORD-VEST, Anul 2004, Numar persoane, 2270
Total, Regiunea NORD-VEST, Anul 2005, Numar persoane, 1595
Total, Regiunea NORD-VEST, Anul 2006, Numar persoane, 1876
Total, Regiunea NORD-VEST, Anul 2007, Numar persoane, 1045
Total, Regiunea NORD-VEST, Anul 2008, Numar persoane, 1137
Total, Regiunea NORD-VEST, Anul 2009, Numar persoane, 1284
Total, Regiunea NORD-VEST, Anul 2010, Numar persoane, 992
Total, Regiunea NORD-VEST, Anul 2011, Numar persoane, 1757
Total, Regiunea NORD-VEST, Anul 2012, Numar persoane, 1766
Total, Regiunea NORD-VEST, Anul 2013, Numar persoane, 1848
Total, Regiunea NORD-VEST, Anul 2014, Numar persoane, 1301
Total, Regiunea NORD-VEST, Anul 2015, Numar persoane, 1831
Total, Regiunea NORD-VEST, Anul 2016, Numar persoane, 2523
Total, Regiunea NORD-VEST, Anul 2017, Numar persoane, 2482
Total, Regiunea NORD-VEST, Anul 2018, Numar persoane, 2896
Total, Regiunea NORD-VEST, Anul 2019, Numar persoane, 2695
Total, Regiunea NORD-VEST, Anul 2020, Numar persoane, 1906
Total, Regiunea NORD-VEST, Anul 2021, Numar persoane, 3301
Total, Regiunea NORD-VEST, Anul 2022, Numar persoane, 4272
Total, Regiunea CENTRU, Anul 1991, Numar persoane, 15907
Total, Regiunea CENTRU, Anul 1992, Numar persoane, 10991
Total, Regiunea CENTRU, Anul 1993, Numar persoane, 5338
Total, Regiunea CENTRU, Anul 1994, Numar persoane, 3819
Total, Regiunea CENTRU, Anul 1995, Numar persoane, 5709
Total, Regiunea CENTRU, Anul 1996, Numar persoane, 3971
Total, Regiunea CENTRU, Anul 1997, Numar persoane, 4071
Total, Regiunea CENTRU, Anul 1998, Numar persoane, 2683
Total, Regiunea CENTRU, Anul 1999, Numar persoane, 1964
Total, Regiunea CENTRU, Anul 2000, Numar persoane, 2640
Total, Regiunea CENTRU, Anul 2001, Numar persoane, 1703
Total, Regiunea CENTRU, Anul 2002, Numar persoane, 1628
Total, Regiunea CENTRU, Anul 2003, Numar persoane, 2219
Total, Regiunea CENTRU, Anul 2004, Numar persoane, 2958
Total, Regiunea CENTRU, Anul 2005, Numar persoane, 2164
Total, Regiunea CENTRU, Anul 2006, Numar persoane, 2739
Total, Regiunea CENTRU, Anul 2007, Numar persoane, 1570
Total, Regiunea CENTRU, Anul 2008, Numar persoane, 1504
Total, Regiunea CENTRU, Anul 2009, Numar persoane, 1689
Total, Regiunea CENTRU, Anul 2010, Numar persoane, 1163
Total, Regiunea CENTRU, Anul 2011, Numar persoane, 1921
Total, Regiunea CENTRU, Anul 2012, Numar persoane, 1776
Total, Regiunea CENTRU, Anul 2013, Numar persoane, 1870
Total, Regiunea CENTRU, Anul 2014, Numar persoane, 1345
Total, Regiunea CENTRU, Anul 2015, Numar persoane, 1794
Total, Regiunea CENTRU, Anul 2016, Numar persoane, 2590
Total, Regiunea CENTRU, Anul 2017, Numar persoane, 2602
Total, Regiunea CENTRU, Anul 2018, Numar persoane, 3043
Total, Regiunea CENTRU, Anul 2019, Numar persoane, 2810
Total, Regiunea CENTRU, Anul 2020, Numar persoane, 2087
Total, Regiunea CENTRU, Anul 2021, Numar persoane, 3418
Total, Regiunea CENTRU, Anul 2022, Numar persoane, 4450
Total, Regiunea NORD-EST, Anul 1991, Numar persoane, 1949
Total, Regiunea NORD-EST, Anul 1992, Numar persoane, 1015
Total, Regiunea NORD-EST, Anul 1993, Numar persoane, 558
Total, Regiunea NORD-EST, Anul 1994, Numar persoane, 711
Total, Regiunea NORD-EST, Anul 1995, Numar persoane, 1241
Total, Regiunea NORD-EST, Anul 1996, Numar persoane, 1315
Total, Regiunea NORD-EST, Anul 1997, Numar persoane, 1596
Total, Regiunea NORD-EST, Anul 1998, Numar persoane, 1450
Total, Regiunea NORD-EST, Anul 1999, Numar persoane, 1216
Total, Regiunea NORD-EST, Anul 2000, Numar persoane, 1837
Total, Regiunea NORD-EST, Anul 2001, Numar persoane, 1667
Total, Regiunea NORD-EST, Anul 2002, Numar persoane, 1140
Total, Regiunea NORD-EST, Anul 2003, Numar persoane, 1495
Total, Regiunea NORD-EST, Anul 2004, Numar persoane, 1853
Total, Regiunea NORD-EST, Anul 2005, Numar persoane, 1852
Total, Regiunea NORD-EST, Anul 2006, Numar persoane, 2556
Total, Regiunea NORD-EST, Anul 2007, Numar persoane, 1522
Total, Regiunea NORD-EST, Anul 2008, Numar persoane, 1412
Total, Regiunea NORD-EST, Anul 2009, Numar persoane, 1593
Total, Regiunea NORD-EST, Anul 2010, Numar persoane, 1302
Total, Regiunea NORD-EST, Anul 2011, Numar persoane, 2972
Total, Regiunea NORD-EST, Anul 2012, Numar persoane, 3027
Total, Regiunea NORD-EST, Anul 2013, Numar persoane, 2742
Total, Regiunea NORD-EST, Anul 2014, Numar persoane, 1964
Total, Regiunea NORD-EST, Anul 2015, Numar persoane, 2729
Total, Regiunea NORD-EST, Anul 2016, Numar persoane, 4197
Total, Regiunea NORD-EST, Anul 2017, Numar persoane, 4408
Total, Regiunea NORD-EST, Anul 2018, Numar persoane, 5486
Total, Regiunea NORD-EST, Anul 2019, Numar persoane, 5945
