Sexe, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Masculin, Bihor, Anul 1991, Numar persoane, 883
Masculin, Bihor, Anul 1992, Numar persoane, 882
Masculin, Bihor, Anul 1993, Numar persoane, 364
Masculin, Bihor, Anul 1994, Numar persoane, 278
Masculin, Bihor, Anul 1995, Numar persoane, 468
Masculin, Bihor, Anul 1996, Numar persoane, 309
Masculin, Bihor, Anul 1997, Numar persoane, 362
Masculin, Bihor, Anul 1998, Numar persoane, 202
Masculin, Bihor, Anul 1999, Numar persoane, 128
Masculin, Bihor, Anul 2000, Numar persoane, 247
Masculin, Bihor, Anul 2001, Numar persoane, 176
Masculin, Bihor, Anul 2002, Numar persoane, 182
Masculin, Bihor, Anul 2003, Numar persoane, 198
Masculin, Bihor, Anul 2004, Numar persoane, 225
Masculin, Bihor, Anul 2005, Numar persoane, 116
Masculin, Bihor, Anul 2006, Numar persoane, 126
Masculin, Bihor, Anul 2007, Numar persoane, 66
Masculin, Bihor, Anul 2008, Numar persoane, 76
Masculin, Bihor, Anul 2009, Numar persoane, 97
Masculin, Bihor, Anul 2010, Numar persoane, 46
Masculin, Bihor, Anul 2011, Numar persoane, 120
Masculin, Bihor, Anul 2012, Numar persoane, 121
Masculin, Bihor, Anul 2013, Numar persoane, 126
Masculin, Bihor, Anul 2014, Numar persoane, 84
Masculin, Bihor, Anul 2015, Numar persoane, 92
Masculin, Bihor, Anul 2016, Numar persoane, 170
Masculin, Bihor, Anul 2017, Numar persoane, 132
Masculin, Bihor, Anul 2018, Numar persoane, 208
Masculin, Bihor, Anul 2019, Numar persoane, 172
Masculin, Bihor, Anul 2020, Numar persoane, 124
Masculin, Bihor, Anul 2021, Numar persoane, 248
Masculin, Bihor, Anul 2022, Numar persoane, 298
Masculin, Bistrita-Nasaud, Anul 1991, Numar persoane, 180
Masculin, Bistrita-Nasaud, Anul 1992, Numar persoane, 196
Masculin, Bistrita-Nasaud, Anul 1993, Numar persoane, 71
Masculin, Bistrita-Nasaud, Anul 1994, Numar persoane, 78
Masculin, Bistrita-Nasaud, Anul 1995, Numar persoane, 143
Masculin, Bistrita-Nasaud, Anul 1996, Numar persoane, 102
Masculin, Bistrita-Nasaud, Anul 1997, Numar persoane, 108
Masculin, Bistrita-Nasaud, Anul 1998, Numar persoane, 69
Masculin, Bistrita-Nasaud, Anul 1999, Numar persoane, 64
Masculin, Bistrita-Nasaud, Anul 2000, Numar persoane, 58
Masculin, Bistrita-Nasaud, Anul 2001, Numar persoane, 63
Masculin, Bistrita-Nasaud, Anul 2002, Numar persoane, 55
Masculin, Bistrita-Nasaud, Anul 2003, Numar persoane, 37
Masculin, Bistrita-Nasaud, Anul 2004, Numar persoane, 52
Masculin, Bistrita-Nasaud, Anul 2005, Numar persoane, 37
Masculin, Bistrita-Nasaud, Anul 2006, Numar persoane, 62
Masculin, Bistrita-Nasaud, Anul 2007, Numar persoane, 33
Masculin, Bistrita-Nasaud, Anul 2008, Numar persoane, 40
