Tari de destinatie , Ani, UM: Numar persoane, Valoare
Australia, Anul 1990, Numar persoane, 611
Australia, Anul 1991, Numar persoane, 301
Australia, Anul 1992, Numar persoane, 297
Australia, Anul 1993, Numar persoane, 236
Australia, Anul 1994, Numar persoane, 220
Australia, Anul 1995, Numar persoane, 136
Australia, Anul 1996, Numar persoane, 165
Australia, Anul 1997, Numar persoane, 207
Australia, Anul 1998, Numar persoane, 206
Australia, Anul 1999, Numar persoane, 124
Australia, Anul 2000, Numar persoane, 143
Australia, Anul 2001, Numar persoane, 79
Australia, Anul 2002, Numar persoane, 58
Australia, Anul 2003, Numar persoane, 45
Australia, Anul 2004, Numar persoane, 84
Australia, Anul 2005, Numar persoane, 78
Australia, Anul 2006, Numar persoane, 125
Australia, Anul 2007, Numar persoane, 83
Australia, Anul 2008, Numar persoane, 82
Australia, Anul 2009, Numar persoane, 128
Australia, Anul 2010, Numar persoane, 81
Australia, Anul 2011, Numar persoane, 112
Australia, Anul 2012, Numar persoane, 92
Australia, Anul 2013, Numar persoane, 97
Australia, Anul 2014, Numar persoane, 45
Australia, Anul 2015, Numar persoane, 116
Australia, Anul 2016, Numar persoane, 111
Australia, Anul 2017, Numar persoane, 114
Australia, Anul 2018, Numar persoane, 128
Australia, Anul 2019, Numar persoane, 176
Australia, Anul 2020, Numar persoane, 91
Australia, Anul 2021, Numar persoane, 115
Australia, Anul 2022, Numar persoane, 205
Austria, Anul 1990, Numar persoane, 3459
Austria, Anul 1991, Numar persoane, 4630
Austria, Anul 1992, Numar persoane, 3282
Austria, Anul 1993, Numar persoane, 1296
Austria, Anul 1994, Numar persoane, 1256
Austria, Anul 1995, Numar persoane, 2276
Austria, Anul 1996, Numar persoane, 915
Austria, Anul 1997, Numar persoane, 1551
Austria, Anul 1998, Numar persoane, 941
Austria, Anul 1999, Numar persoane, 468
Austria, Anul 2000, Numar persoane, 270
Austria, Anul 2001, Numar persoane, 167
Austria, Anul 2002, Numar persoane, 293
Austria, Anul 2003, Numar persoane, 326
Austria, Anul 2004, Numar persoane, 491
Austria, Anul 2005, Numar persoane, 421
