Varste si grupe de varsta, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
0- 4 ani, Bihor, Anul 1992, Numar persoane, 40
0- 4 ani, Bihor, Anul 1993, Numar persoane, 28
0- 4 ani, Bihor, Anul 1994, Numar persoane, 15
0- 4 ani, Bihor, Anul 1995, Numar persoane, 20
0- 4 ani, Bihor, Anul 1996, Numar persoane, 16
0- 4 ani, Bihor, Anul 1997, Numar persoane, 27
0- 4 ani, Bihor, Anul 1998, Numar persoane, 27
0- 4 ani, Bihor, Anul 1999, Numar persoane, 23
0- 4 ani, Bihor, Anul 2000, Numar persoane, 120
0- 4 ani, Bihor, Anul 2001, Numar persoane, 70
0- 4 ani, Bihor, Anul 2002, Numar persoane, 15
0- 4 ani, Bihor, Anul 2003, Numar persoane, 21
0- 4 ani, Bihor, Anul 2004, Numar persoane, 9
0- 4 ani, Bihor, Anul 2005, Numar persoane, 4
0- 4 ani, Bihor, Anul 2007, Numar persoane, 1
0- 4 ani, Bihor, Anul 2008, Numar persoane, 1
0- 4 ani, Bihor, Anul 2009, Numar persoane, 4
0- 4 ani, Bihor, Anul 2011, Numar persoane, 17
0- 4 ani, Bihor, Anul 2012, Numar persoane, 21
0- 4 ani, Bihor, Anul 2013, Numar persoane, 19
0- 4 ani, Bihor, Anul 2014, Numar persoane, 4
0- 4 ani, Bihor, Anul 2015, Numar persoane, 10
0- 4 ani, Bihor, Anul 2016, Numar persoane, 12
0- 4 ani, Bihor, Anul 2017, Numar persoane, 8
0- 4 ani, Bihor, Anul 2018, Numar persoane, 18
0- 4 ani, Bihor, Anul 2019, Numar persoane, 10
0- 4 ani, Bihor, Anul 2020, Numar persoane, 7
0- 4 ani, Bihor, Anul 2021, Numar persoane, 15
0- 4 ani, Bihor, Anul 2022, Numar persoane, 27
0- 4 ani, Bistrita-Nasaud, Anul 1992, Numar persoane, 4
0- 4 ani, Bistrita-Nasaud, Anul 1993, Numar persoane, 12
0- 4 ani, Bistrita-Nasaud, Anul 1994, Numar persoane, 7
0- 4 ani, Bistrita-Nasaud, Anul 1995, Numar persoane, 18
0- 4 ani, Bistrita-Nasaud, Anul 1996, Numar persoane, 19
0- 4 ani, Bistrita-Nasaud, Anul 1997, Numar persoane, 21
0- 4 ani, Bistrita-Nasaud, Anul 1998, Numar persoane, 31
0- 4 ani, Bistrita-Nasaud, Anul 1999, Numar persoane, 15
0- 4 ani, Bistrita-Nasaud, Anul 2000, Numar persoane, 29
0- 4 ani, Bistrita-Nasaud, Anul 2001, Numar persoane, 13
0- 4 ani, Bistrita-Nasaud, Anul 2002, Numar persoane, 2
0- 4 ani, Bistrita-Nasaud, Anul 2003, Numar persoane, 3
0- 4 ani, Bistrita-Nasaud, Anul 2004, Numar persoane, 4
0- 4 ani, Bistrita-Nasaud, Anul 2009, Numar persoane, 2
0- 4 ani, Bistrita-Nasaud, Anul 2011, Numar persoane, 27
0- 4 ani, Bistrita-Nasaud, Anul 2012, Numar persoane, 16
0- 4 ani, Bistrita-Nasaud, Anul 2013, Numar persoane, 14
0- 4 ani, Bistrita-Nasaud, Anul 2014, Numar persoane, 8
0- 4 ani, Bistrita-Nasaud, Anul 2015, Numar persoane, 16
0- 4 ani, Bistrita-Nasaud, Anul 2016, Numar persoane, 17
0- 4 ani, Bistrita-Nasaud, Anul 2017, Numar persoane, 6
0- 4 ani, Bistrita-Nasaud, Anul 2018, Numar persoane, 14
0- 4 ani, Bistrita-Nasaud, Anul 2019, Numar persoane, 12
0- 4 ani, Bistrita-Nasaud, Anul 2020, Numar persoane, 12
0- 4 ani, Bistrita-Nasaud, Anul 2021, Numar persoane, 14
0- 4 ani, Bistrita-Nasaud, Anul 2022, Numar persoane, 21
0- 4 ani, Cluj, Anul 1992, Numar persoane, 34
0- 4 ani, Cluj, Anul 1993, Numar persoane, 25
0- 4 ani, Cluj, Anul 1994, Numar persoane, 10
0- 4 ani, Cluj, Anul 1995, Numar persoane, 22
0- 4 ani, Cluj, Anul 1996, Numar persoane, 18
0- 4 ani, Cluj, Anul 1997, Numar persoane, 30
0- 4 ani, Cluj, Anul 1998, Numar persoane, 29
0- 4 ani, Cluj, Anul 1999, Numar persoane, 48
0- 4 ani, Cluj, Anul 2000, Numar persoane, 62
0- 4 ani, Cluj, Anul 2001, Numar persoane, 42
0- 4 ani, Cluj, Anul 2002, Numar persoane, 17
0- 4 ani, Cluj, Anul 2003, Numar persoane, 20
0- 4 ani, Cluj, Anul 2004, Numar persoane, 15
0- 4 ani, Cluj, Anul 2005, Numar persoane, 5
0- 4 ani, Cluj, Anul 2006, Numar persoane, 1
0- 4 ani, Cluj, Anul 2008, Numar persoane, 1
0- 4 ani, Cluj, Anul 2009, Numar persoane, 1
0- 4 ani, Cluj, Anul 2010, Numar persoane, 3
0- 4 ani, Cluj, Anul 2011, Numar persoane, 51
0- 4 ani, Cluj, Anul 2012, Numar persoane, 49
0- 4 ani, Cluj, Anul 2013, Numar persoane, 32
0- 4 ani, Cluj, Anul 2014, Numar persoane, 6
0- 4 ani, Cluj, Anul 2015, Numar persoane, 12
0- 4 ani, Cluj, Anul 2016, Numar persoane, 21
0- 4 ani, Cluj, Anul 2017, Numar persoane, 24
0- 4 ani, Cluj, Anul 2018, Numar persoane, 30
0- 4 ani, Cluj, Anul 2019, Numar persoane, 14
0- 4 ani, Cluj, Anul 2020, Numar persoane, 26
0- 4 ani, Cluj, Anul 2021, Numar persoane, 23
0- 4 ani, Cluj, Anul 2022, Numar persoane, 42
0- 4 ani, Maramures, Anul 1992, Numar persoane, 23
0- 4 ani, Maramures, Anul 1993, Numar persoane, 33
0- 4 ani, Maramures, Anul 1994, Numar persoane, 22
0- 4 ani, Maramures, Anul 1995, Numar persoane, 17
0- 4 ani, Maramures, Anul 1996, Numar persoane, 15
0- 4 ani, Maramures, Anul 1997, Numar persoane, 15
0- 4 ani, Maramures, Anul 1998, Numar persoane, 16
0- 4 ani, Maramures, Anul 1999, Numar persoane, 7
0- 4 ani, Maramures, Anul 2000, Numar persoane, 29
0- 4 ani, Maramures, Anul 2001, Numar persoane, 12
