Medii de rezidenta, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Urban, Bihor, Anul 1990, Numar persoane, 35
Urban, Bihor, Anul 1991, Numar persoane, 30
Urban, Bihor, Anul 1992, Numar persoane, 28
Urban, Bihor, Anul 1993, Numar persoane, 21
Urban, Bihor, Anul 1994, Numar persoane, 29
Urban, Bihor, Anul 1995, Numar persoane, 27
Urban, Bihor, Anul 1996, Numar persoane, 27
Urban, Bihor, Anul 1997, Numar persoane, 24
Urban, Bihor, Anul 1998, Numar persoane, 22
Urban, Bihor, Anul 1999, Numar persoane, 24
Urban, Bihor, Anul 2000, Numar persoane, 23
Urban, Bihor, Anul 2001, Numar persoane, 18
Urban, Bihor, Anul 2002, Numar persoane, 17
Urban, Bihor, Anul 2003, Numar persoane, 12
Urban, Bihor, Anul 2004, Numar persoane, 20
Urban, Bihor, Anul 2005, Numar persoane, 23
Urban, Bihor, Anul 2006, Numar persoane, 15
Urban, Bihor, Anul 2007, Numar persoane, 13
Urban, Bihor, Anul 2008, Numar persoane, 19
Urban, Bihor, Anul 2009, Numar persoane, 13
Urban, Bihor, Anul 2010, Numar persoane, 16
Urban, Bihor, Anul 2011, Numar persoane, 11
Urban, Bihor, Anul 2012, Numar persoane, 18
Urban, Bihor, Anul 2013, Numar persoane, 12
Urban, Bihor, Anul 2014, Numar persoane, 12
Urban, Bihor, Anul 2015, Numar persoane, 17
Urban, Bihor, Anul 2016, Numar persoane, 12
Urban, Bihor, Anul 2017, Numar persoane, 9
Urban, Bihor, Anul 2018, Numar persoane, 14
Urban, Bihor, Anul 2019, Numar persoane, 14
Urban, Bihor, Anul 2020, Numar persoane, 13
Urban, Bihor, Anul 2021, Numar persoane, 15
Urban, Bihor, Anul 2022, Numar persoane, 9
Urban, Bistrita-Nasaud, Anul 1990, Numar persoane, 25
Urban, Bistrita-Nasaud, Anul 1991, Numar persoane, 15
Urban, Bistrita-Nasaud, Anul 1992, Numar persoane, 10
Urban, Bistrita-Nasaud, Anul 1993, Numar persoane, 5
Urban, Bistrita-Nasaud, Anul 1994, Numar persoane, 7
Urban, Bistrita-Nasaud, Anul 1995, Numar persoane, 9
Urban, Bistrita-Nasaud, Anul 1996, Numar persoane, 11
Urban, Bistrita-Nasaud, Anul 1997, Numar persoane, 6
Urban, Bistrita-Nasaud, Anul 1998, Numar persoane, 10
Urban, Bistrita-Nasaud, Anul 1999, Numar persoane, 8
Urban, Bistrita-Nasaud, Anul 2000, Numar persoane, 6
Urban, Bistrita-Nasaud, Anul 2001, Numar persoane, 5
Urban, Bistrita-Nasaud, Anul 2002, Numar persoane, 3
Urban, Bistrita-Nasaud, Anul 2003, Numar persoane, 3
Urban, Bistrita-Nasaud, Anul 2004, Numar persoane, 9
Urban, Bistrita-Nasaud, Anul 2005, Numar persoane, 6
Urban, Bistrita-Nasaud, Anul 2006, Numar persoane, 4
Urban, Bistrita-Nasaud, Anul 2007, Numar persoane, 5
Urban, Bistrita-Nasaud, Anul 2008, Numar persoane, 11
Urban, Bistrita-Nasaud, Anul 2009, Numar persoane, 4
Urban, Bistrita-Nasaud, Anul 2010, Numar persoane, 6
Urban, Bistrita-Nasaud, Anul 2011, Numar persoane, 5
Urban, Bistrita-Nasaud, Anul 2012, Numar persoane, 14
