Sexe, Medii de rezidenta, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Total, Urban, Bihor, Anul 1990, Numar persoane, 4055
Total, Urban, Bihor, Anul 1991, Numar persoane, 3777
Total, Urban, Bihor, Anul 1992, Numar persoane, 3345
Total, Urban, Bihor, Anul 1993, Numar persoane, 3089
Total, Urban, Bihor, Anul 1994, Numar persoane, 3123
Total, Urban, Bihor, Anul 1995, Numar persoane, 2925
Total, Urban, Bihor, Anul 1996, Numar persoane, 2881
Total, Urban, Bihor, Anul 1997, Numar persoane, 2730
Total, Urban, Bihor, Anul 1998, Numar persoane, 2846
Total, Urban, Bihor, Anul 1999, Numar persoane, 2831
Total, Urban, Bihor, Anul 2000, Numar persoane, 2795
Total, Urban, Bihor, Anul 2001, Numar persoane, 2654
Total, Urban, Bihor, Anul 2002, Numar persoane, 2607
Total, Urban, Bihor, Anul 2003, Numar persoane, 2602
Total, Urban, Bihor, Anul 2004, Numar persoane, 2816
Total, Urban, Bihor, Anul 2005, Numar persoane, 3250
Total, Urban, Bihor, Anul 2006, Numar persoane, 3131
Total, Urban, Bihor, Anul 2007, Numar persoane, 2958
Total, Urban, Bihor, Anul 2008, Numar persoane, 3188
Total, Urban, Bihor, Anul 2009, Numar persoane, 3167
Total, Urban, Bihor, Anul 2010, Numar persoane, 3036
Total, Urban, Bihor, Anul 2011, Numar persoane, 2807
Total, Urban, Bihor, Anul 2012, Numar persoane, 2903
Total, Urban, Bihor, Anul 2013, Numar persoane, 2863
Total, Urban, Bihor, Anul 2014, Numar persoane, 2807
Total, Urban, Bihor, Anul 2015, Numar persoane, 2848
Total, Urban, Bihor, Anul 2016, Numar persoane, 2894
Total, Urban, Bihor, Anul 2017, Numar persoane, 2966
Total, Urban, Bihor, Anul 2018, Numar persoane, 2916
Total, Urban, Bihor, Anul 2019, Numar persoane, 2864
Total, Urban, Bihor, Anul 2020, Numar persoane, 2662
Total, Urban, Bihor, Anul 2021, Numar persoane, 2630
Total, Urban, Bihor, Anul 2022, Numar persoane, 2303
Total, Urban, Bistrita-Nasaud, Anul 1990, Numar persoane, 1970
Total, Urban, Bistrita-Nasaud, Anul 1991, Numar persoane, 1651
Total, Urban, Bistrita-Nasaud, Anul 1992, Numar persoane, 1535
Total, Urban, Bistrita-Nasaud, Anul 1993, Numar persoane, 1382
Total, Urban, Bistrita-Nasaud, Anul 1994, Numar persoane, 1368
Total, Urban, Bistrita-Nasaud, Anul 1995, Numar persoane, 1283
Total, Urban, Bistrita-Nasaud, Anul 1996, Numar persoane, 1311
Total, Urban, Bistrita-Nasaud, Anul 1997, Numar persoane, 1356
Total, Urban, Bistrita-Nasaud, Anul 1998, Numar persoane, 1218
Total, Urban, Bistrita-Nasaud, Anul 1999, Numar persoane, 1219
Total, Urban, Bistrita-Nasaud, Anul 2000, Numar persoane, 1220
Total, Urban, Bistrita-Nasaud, Anul 2001, Numar persoane, 1178
Total, Urban, Bistrita-Nasaud, Anul 2002, Numar persoane, 1035
Total, Urban, Bistrita-Nasaud, Anul 2003, Numar persoane, 1117
Total, Urban, Bistrita-Nasaud, Anul 2004, Numar persoane, 1143
Total, Urban, Bistrita-Nasaud, Anul 2005, Numar persoane, 1292
Total, Urban, Bistrita-Nasaud, Anul 2006, Numar persoane, 1408
Total, Urban, Bistrita-Nasaud, Anul 2007, Numar persoane, 1308
Total, Urban, Bistrita-Nasaud, Anul 2008, Numar persoane, 1426
Total, Urban, Bistrita-Nasaud, Anul 2009, Numar persoane, 1342
Total, Urban, Bistrita-Nasaud, Anul 2010, Numar persoane, 1408
Total, Urban, Bistrita-Nasaud, Anul 2011, Numar persoane, 1242
Total, Urban, Bistrita-Nasaud, Anul 2012, Numar persoane, 1292
Total, Urban, Bistrita-Nasaud, Anul 2013, Numar persoane, 1435
Total, Urban, Bistrita-Nasaud, Anul 2014, Numar persoane, 1353
Total, Urban, Bistrita-Nasaud, Anul 2015, Numar persoane, 1392
Total, Urban, Bistrita-Nasaud, Anul 2016, Numar persoane, 1396
Total, Urban, Bistrita-Nasaud, Anul 2017, Numar persoane, 1362
Total, Urban, Bistrita-Nasaud, Anul 2018, Numar persoane, 1469
Total, Urban, Bistrita-Nasaud, Anul 2019, Numar persoane, 1410
Total, Urban, Bistrita-Nasaud, Anul 2020, Numar persoane, 1273
Total, Urban, Bistrita-Nasaud, Anul 2021, Numar persoane, 1243
Total, Urban, Bistrita-Nasaud, Anul 2022, Numar persoane, 1163
Total, Urban, Cluj, Anul 1990, Numar persoane, 5789
Total, Urban, Cluj, Anul 1991, Numar persoane, 5154
Total, Urban, Cluj, Anul 1992, Numar persoane, 4688
Total, Urban, Cluj, Anul 1993, Numar persoane, 4242
Total, Urban, Cluj, Anul 1994, Numar persoane, 4412
Total, Urban, Cluj, Anul 1995, Numar persoane, 4004
Total, Urban, Cluj, Anul 1996, Numar persoane, 3949
Total, Urban, Cluj, Anul 1997, Numar persoane, 3919
Total, Urban, Cluj, Anul 1998, Numar persoane, 3933
Total, Urban, Cluj, Anul 1999, Numar persoane, 3853
Total, Urban, Cluj, Anul 2000, Numar persoane, 3883
Total, Urban, Cluj, Anul 2001, Numar persoane, 3763
Total, Urban, Cluj, Anul 2002, Numar persoane, 3500
Total, Urban, Cluj, Anul 2003, Numar persoane, 3568
Total, Urban, Cluj, Anul 2004, Numar persoane, 3923
Total, Urban, Cluj, Anul 2005, Numar persoane, 4334
Total, Urban, Cluj, Anul 2006, Numar persoane, 4462
Total, Urban, Cluj, Anul 2007, Numar persoane, 4230
Total, Urban, Cluj, Anul 2008, Numar persoane, 4436
Total, Urban, Cluj, Anul 2009, Numar persoane, 4662
Total, Urban, Cluj, Anul 2010, Numar persoane, 4609
Total, Urban, Cluj, Anul 2011, Numar persoane, 4242
Total, Urban, Cluj, Anul 2012, Numar persoane, 4130
Total, Urban, Cluj, Anul 2013, Numar persoane, 4480
Total, Urban, Cluj, Anul 2014, Numar persoane, 4352
Total, Urban, Cluj, Anul 2015, Numar persoane, 4583
Total, Urban, Cluj, Anul 2016, Numar persoane, 4693
Total, Urban, Cluj, Anul 2017, Numar persoane, 4767
Total, Urban, Cluj, Anul 2018, Numar persoane, 4705
Total, Urban, Cluj, Anul 2019, Numar persoane, 4840
Total, Urban, Cluj, Anul 2020, Numar persoane, 4340
Total, Urban, Cluj, Anul 2021, Numar persoane, 4270
Total, Urban, Cluj, Anul 2022, Numar persoane, 3998
Total, Urban, Maramures, Anul 1990, Numar persoane, 4737
Total, Urban, Maramures, Anul 1991, Numar persoane, 4338
Total, Urban, Maramures, Anul 1992, Numar persoane, 3894
Total, Urban, Maramures, Anul 1993, Numar persoane, 3626
Total, Urban, Maramures, Anul 1994, Numar persoane, 3397
Total, Urban, Maramures, Anul 1995, Numar persoane, 3302
Total, Urban, Maramures, Anul 1996, Numar persoane, 3383
Total, Urban, Maramures, Anul 1997, Numar persoane, 3426
Total, Urban, Maramures, Anul 1998, Numar persoane, 3393
Total, Urban, Maramures, Anul 1999, Numar persoane, 3213
Total, Urban, Maramures, Anul 2000, Numar persoane, 3113
Total, Urban, Maramures, Anul 2001, Numar persoane, 2926
Total, Urban, Maramures, Anul 2002, Numar persoane, 2736
Total, Urban, Maramures, Anul 2003, Numar persoane, 2785
Total, Urban, Maramures, Anul 2004, Numar persoane, 3367
Total, Urban, Maramures, Anul 2005, Numar persoane, 3505
Total, Urban, Maramures, Anul 2006, Numar persoane, 3457
