Niveluri de educatie, Sexe, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Total, Total, Bihor, Anul 1990, Numar persoane, 8180
Total, Total, Bihor, Anul 1991, Numar persoane, 8195
Total, Total, Bihor, Anul 1992, Numar persoane, 8350
Total, Total, Bihor, Anul 1993, Numar persoane, 8571
Total, Total, Bihor, Anul 1994, Numar persoane, 8632
Total, Total, Bihor, Anul 1995, Numar persoane, 9053
Total, Total, Bihor, Anul 1996, Numar persoane, 9104
Total, Total, Bihor, Anul 1997, Numar persoane, 9141
Total, Total, Bihor, Anul 1998, Numar persoane, 9436
Total, Total, Bihor, Anul 1999, Numar persoane, 9383
Total, Total, Bihor, Anul 2000, Numar persoane, 9171
Total, Total, Bihor, Anul 2001, Numar persoane, 9247
Total, Total, Bihor, Anul 2002, Numar persoane, 9496
Total, Total, Bihor, Anul 2003, Numar persoane, 9423
Total, Total, Bihor, Anul 2004, Numar persoane, 9564
Total, Total, Bihor, Anul 2005, Numar persoane, 9547
Total, Total, Bihor, Anul 2006, Numar persoane, 9756
Total, Total, Bihor, Anul 2007, Numar persoane, 9442
Total, Total, Bihor, Anul 2008, Numar persoane, 9587
Total, Total, Bihor, Anul 2009, Numar persoane, 9510
Total, Total, Bihor, Anul 2010, Numar persoane, 8884
Total, Total, Bihor, Anul 2011, Numar persoane, 8873
Total, Total, Bihor, Anul 2012, Numar persoane, 8678
Total, Total, Bihor, Anul 2013, Numar persoane, 8649
Total, Total, Bihor, Anul 2014, Numar persoane, 8665
Total, Total, Bihor, Anul 2015, Numar persoane, 8296
Total, Total, Bihor, Anul 2016, Numar persoane, 8194
Total, Total, Bihor, Anul 2017, Numar persoane, 8157
Total, Total, Bihor, Anul 2018, Numar persoane, 8057
Total, Total, Bihor, Anul 2019, Numar persoane, 8068
Total, Total, Bihor, Anul 2020, Numar persoane, 7970
Total, Total, Bihor, Anul 2021, Numar persoane, 8167
Total, Total, Bistrita-Nasaud, Anul 1990, Numar persoane, 4403
Total, Total, Bistrita-Nasaud, Anul 1991, Numar persoane, 4302
Total, Total, Bistrita-Nasaud, Anul 1992, Numar persoane, 4333
Total, Total, Bistrita-Nasaud, Anul 1993, Numar persoane, 4382
Total, Total, Bistrita-Nasaud, Anul 1994, Numar persoane, 4556
Total, Total, Bistrita-Nasaud, Anul 1995, Numar persoane, 4684
Total, Total, Bistrita-Nasaud, Anul 1996, Numar persoane, 4863
Total, Total, Bistrita-Nasaud, Anul 1997, Numar persoane, 4599
Total, Total, Bistrita-Nasaud, Anul 1998, Numar persoane, 4693
Total, Total, Bistrita-Nasaud, Anul 1999, Numar persoane, 4565
Total, Total, Bistrita-Nasaud, Anul 2000, Numar persoane, 4460
Total, Total, Bistrita-Nasaud, Anul 2001, Numar persoane, 4612
Total, Total, Bistrita-Nasaud, Anul 2002, Numar persoane, 4473
Total, Total, Bistrita-Nasaud, Anul 2003, Numar persoane, 4369
Total, Total, Bistrita-Nasaud, Anul 2004, Numar persoane, 4386
Total, Total, Bistrita-Nasaud, Anul 2005, Numar persoane, 4381
Total, Total, Bistrita-Nasaud, Anul 2006, Numar persoane, 4287
Total, Total, Bistrita-Nasaud, Anul 2007, Numar persoane, 4204
