Sexe, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Procente, Valoare
Masculin, Bihor, Anul 1991, Procente, 1.8
Masculin, Bihor, Anul 1992, Procente, 6.1
Masculin, Bihor, Anul 1993, Procente, 6.2
Masculin, Bihor, Anul 1994, Procente, 7.1
Masculin, Bihor, Anul 1995, Procente, 5.7
Masculin, Bihor, Anul 1996, Procente, 2.6
Masculin, Bihor, Anul 1997, Procente, 4.8
Masculin, Bihor, Anul 1998, Procente, 5.6
Masculin, Bihor, Anul 1999, Procente, 7.2
Masculin, Bihor, Anul 2000, Procente, 5.6
Masculin, Bihor, Anul 2001, Procente, 3.2
Masculin, Bihor, Anul 2002, Procente, 3.9
Masculin, Bihor, Anul 2003, Procente, 2.9
Masculin, Bihor, Anul 2004, Procente, 2.5
Masculin, Bihor, Anul 2005, Procente, 3.2
Masculin, Bihor, Anul 2006, Procente, 3.3
Masculin, Bihor, Anul 2007, Procente, 2.7
Masculin, Bihor, Anul 2008, Procente, 3.1
Masculin, Bihor, Anul 2009, Procente, 6.7
Masculin, Bihor, Anul 2010, Procente, 6.9
Masculin, Bihor, Anul 2011, Procente, 4.7
Masculin, Bihor, Anul 2012, Procente, 4.7
Masculin, Bihor, Anul 2013, Procente, 4
Masculin, Bihor, Anul 2014, Procente, 4
Masculin, Bihor, Anul 2015, Procente, 3.7
Masculin, Bihor, Anul 2016, Procente, 3.6
Masculin, Bihor, Anul 2017, Procente, 2.5
Masculin, Bihor, Anul 2018, Procente, 1.4
Masculin, Bihor, Anul 2019, Procente, 1.1
Masculin, Bihor, Anul 2020, Procente, 1.7
Masculin, Bihor, Anul 2021, Procente, 1.3
Masculin, Bistrita-Nasaud, Anul 1991, Procente, 6.4
Masculin, Bistrita-Nasaud, Anul 1992, Procente, 15.5
Masculin, Bistrita-Nasaud, Anul 1993, Procente, 18.2
Masculin, Bistrita-Nasaud, Anul 1994, Procente, 13.6
Masculin, Bistrita-Nasaud, Anul 1995, Procente, 10.6
Masculin, Bistrita-Nasaud, Anul 1996, Procente, 8
Masculin, Bistrita-Nasaud, Anul 1997, Procente, 11.4
Masculin, Bistrita-Nasaud, Anul 1998, Procente, 13.5
Masculin, Bistrita-Nasaud, Anul 1999, Procente, 14.9
Masculin, Bistrita-Nasaud, Anul 2000, Procente, 13.1
