Niveluri de educatie, Judete, Localitati , Ani, UM: Numar, Valoare
Total, Alba, TOTAL, Anul 1992, Numar, 782
Total, Alba, TOTAL, Anul 1993, Numar, 803
Total, Alba, TOTAL, Anul 1994, Numar, 775
Total, Alba, TOTAL, Anul 1995, Numar, 774
Total, Alba, TOTAL, Anul 1996, Numar, 780
Total, Alba, TOTAL, Anul 1997, Numar, 752
Total, Alba, TOTAL, Anul 1998, Numar, 766
Total, Alba, TOTAL, Anul 1999, Numar, 715
Total, Alba, TOTAL, Anul 2000, Numar, 706
Total, Alba, TOTAL, Anul 2001, Numar, 704
Total, Alba, TOTAL, Anul 2002, Numar, 704
Total, Alba, TOTAL, Anul 2003, Numar, 494
Total, Alba, TOTAL, Anul 2004, Numar, 494
Total, Alba, TOTAL, Anul 2005, Numar, 491
Total, Alba, TOTAL, Anul 2006, Numar, 184
Total, Alba, TOTAL, Anul 2007, Numar, 181
Total, Alba, TOTAL, Anul 2008, Numar, 179
Total, Alba, TOTAL, Anul 2009, Numar, 181
Total, Alba, TOTAL, Anul 2010, Numar, 174
Total, Alba, TOTAL, Anul 2011, Numar, 151
Total, Alba, TOTAL, Anul 2012, Numar, 143
Total, Alba, TOTAL, Anul 2013, Numar, 144
Total, Alba, TOTAL, Anul 2014, Numar, 141
Total, Alba, TOTAL, Anul 2015, Numar, 141
Total, Alba, TOTAL, Anul 2016, Numar, 140
Total, Alba, TOTAL, Anul 2017, Numar, 140
Total, Alba, TOTAL, Anul 2018, Numar, 140
Total, Alba, TOTAL, Anul 2019, Numar, 141
Total, Alba, TOTAL, Anul 2020, Numar, 140
Total, Alba, TOTAL, Anul 2021, Numar, 140
Total, Arad, TOTAL, Anul 1992, Numar, 643
Total, Arad, TOTAL, Anul 1993, Numar, 658
Total, Arad, TOTAL, Anul 1994, Numar, 651
Total, Arad, TOTAL, Anul 1995, Numar, 646
Total, Arad, TOTAL, Anul 1996, Numar, 687
Total, Arad, TOTAL, Anul 1997, Numar, 678
Total, Arad, TOTAL, Anul 1998, Numar, 676
Total, Arad, TOTAL, Anul 1999, Numar, 621
Total, Arad, TOTAL, Anul 2000, Numar, 604
Total, Arad, TOTAL, Anul 2001, Numar, 588
Total, Arad, TOTAL, Anul 2002, Numar, 578
Total, Arad, TOTAL, Anul 2003, Numar, 431
Total, Arad, TOTAL, Anul 2004, Numar, 266
Total, Arad, TOTAL, Anul 2005, Numar, 258
Total, Arad, TOTAL, Anul 2006, Numar, 182
Total, Arad, TOTAL, Anul 2007, Numar, 183
Total, Arad, TOTAL, Anul 2008, Numar, 181
Total, Arad, TOTAL, Anul 2009, Numar, 178
Total, Arad, TOTAL, Anul 2010, Numar, 163
Total, Arad, TOTAL, Anul 2011, Numar, 130
Total, Arad, TOTAL, Anul 2012, Numar, 176
Total, Arad, TOTAL, Anul 2013, Numar, 166
Total, Arad, TOTAL, Anul 2014, Numar, 163
Total, Arad, TOTAL, Anul 2015, Numar, 165
Total, Arad, TOTAL, Anul 2016, Numar, 156
Total, Arad, TOTAL, Anul 2017, Numar, 156
Total, Arad, TOTAL, Anul 2018, Numar, 156
Total, Arad, TOTAL, Anul 2019, Numar, 156
Total, Arad, TOTAL, Anul 2020, Numar, 154
Total, Arad, TOTAL, Anul 2021, Numar, 158
Total, Arges, TOTAL, Anul 1992, Numar, 1067
Total, Arges, TOTAL, Anul 1993, Numar, 1063
Total, Arges, TOTAL, Anul 1994, Numar, 1065
Total, Arges, TOTAL, Anul 1995, Numar, 1075
Total, Arges, TOTAL, Anul 1996, Numar, 1079
Total, Arges, TOTAL, Anul 1997, Numar, 1082
Total, Arges, TOTAL, Anul 1998, Numar, 1083
Total, Arges, TOTAL, Anul 1999, Numar, 1012
Total, Arges, TOTAL, Anul 2000, Numar, 1002
Total, Arges, TOTAL, Anul 2001, Numar, 1000
Total, Arges, TOTAL, Anul 2002, Numar, 1001
Total, Arges, TOTAL, Anul 2003, Numar, 353
Total, Arges, TOTAL, Anul 2004, Numar, 353
Total, Arges, TOTAL, Anul 2005, Numar, 353
Total, Arges, TOTAL, Anul 2006, Numar, 228
Total, Arges, TOTAL, Anul 2007, Numar, 226
Total, Arges, TOTAL, Anul 2008, Numar, 226
Total, Arges, TOTAL, Anul 2009, Numar, 222
Total, Arges, TOTAL, Anul 2010, Numar, 208
Total, Arges, TOTAL, Anul 2011, Numar, 202
Total, Arges, TOTAL, Anul 2012, Numar, 203
Total, Arges, TOTAL, Anul 2013, Numar, 206
Total, Arges, TOTAL, Anul 2014, Numar, 210
Total, Arges, TOTAL, Anul 2015, Numar, 208
Total, Arges, TOTAL, Anul 2016, Numar, 212
Total, Arges, TOTAL, Anul 2017, Numar, 213
Total, Arges, TOTAL, Anul 2018, Numar, 214
Total, Arges, TOTAL, Anul 2019, Numar, 214
Total, Arges, TOTAL, Anul 2020, Numar, 215
Total, Arges, TOTAL, Anul 2021, Numar, 215
Total, Bacau, TOTAL, Anul 1992, Numar, 1133
Total, Bacau, TOTAL, Anul 1993, Numar, 1151
Total, Bacau, TOTAL, Anul 1994, Numar, 1147
Total, Bacau, TOTAL, Anul 1995, Numar, 1147
Total, Bacau, TOTAL, Anul 1996, Numar, 1176
Total, Bacau, TOTAL, Anul 1997, Numar, 1113
Total, Bacau, TOTAL, Anul 1998, Numar, 1137
Total, Bacau, TOTAL, Anul 1999, Numar, 1083
Total, Bacau, TOTAL, Anul 2000, Numar, 672
Total, Bacau, TOTAL, Anul 2001, Numar, 680
Total, Bacau, TOTAL, Anul 2002, Numar, 666
Total, Bacau, TOTAL, Anul 2003, Numar, 394
Total, Bacau, TOTAL, Anul 2004, Numar, 392
Total, Bacau, TOTAL, Anul 2005, Numar, 392
Total, Bacau, TOTAL, Anul 2006, Numar, 308
Total, Bacau, TOTAL, Anul 2007, Numar, 284
Total, Bacau, TOTAL, Anul 2008, Numar, 282
Total, Bacau, TOTAL, Anul 2009, Numar, 270
Total, Bacau, TOTAL, Anul 2010, Numar, 217
Total, Bacau, TOTAL, Anul 2011, Numar, 206
Total, Bacau, TOTAL, Anul 2012, Numar, 187
